#Stadt,Einwohner,Breitengrad,Laengengrad
Kyoto,1386899,35.01,135.75
Lahore,6310888,31.56,74.35
Lapu-Lapu City,241374,10.3103,123.949
Larkana,364033,27.56,68.21
Lianyungang,4906400,34.6,119.167
Liaocheng,5908900,36.43,115.97
Libertad,250353,8.94417,125.502
Linyi,10415400,35.08,118.33
Lipa,260568,13.9394,121.174
Lipetsk,502821,52.62,39.62
Loa Janan,212816,-0.59,117.1
Luan,7058900,31.75,116.48
Lucena,236390,13.9314,121.617
Luchou,203052,25.08,121.47
Lucknow,2472011,26.85,80.92
Ludhiana,1545368,30.91,75.84
Luoyang,6948900,34.6697,112.442
Luzhou,4971500,28.88,105.38
Mabalacat,203307,15.2233,120.579
Macau,462800,22.2,113.55
Machida,404798,35.56,139.43
Madurai,909908,9.92,78.12
Maebashi,318653,36.39,139.06
Magnitogorsk,413208,53.42,58.97
Maheshtala,440894,22.51,88.23
Maimansingh,330126,24.75,90.39
Maisuru,868313,12.31,76.65
Majalaya,226707,-7.05,107.76
Makasar,1339374,-5.14,119.41
Makati,510383,14.55,121.033
Makhachkala,465854,42.98,47.5
Makkah,1534731,21.43,39.82
Malang,819708,-7.98,112.62
Malard,228713,35.67,50.99
Malatya,388590,38.36,38.31
Malegaon,435362,20.56,74.52
Malolos,223069,14.8419,120.812
Manado,451893,1.5,124.84
Mandalay,960000,21.98,96.09
Mandaluyong,328699,14.5833,121.033
Mandaue City,318575,10.3236,123.922
Mangaluru,417387,12.88,74.84
Manila,1660714,14.6042,120.982
Manisa,281890,38.63,27.43
Mansilingan,454150,10.6311,122.979
Mantampay,265032,8.16667,124.217
Maoming,7353099,21.92,110.87
Mardan,300424,34.2,72.04
Masan,426784,35.2081,128.572
Mashhad,2427316,36.27,59.57
Mataram,318674,-8.58,116.13
Matsudo,472504,35.78,139.9
Matsumoto,227579,36.24,137.97
Matsuyama,514944,33.84,132.77
Mawlamyine,438861,16.49,97.63
Mazar-e Sarif,300600,36.7,67.1
Medan,2109339,3.59,98.67
Meerut,1223184,28.99,77.7
Meizhou,5073600,24.33,116.12
Mersin,623861,36.81,34.63
Mianyang,5446500,31.47,104.77
Mingaora,227331,34.78,72.36
Mira Bhayandar,687320,19.29,72.85
Miri,228212,4.4,113.97
Mirpur Khas,215657,25.53,69.01
Mito,262532,36.38,140.47
Miyazaki,310092,31.91,131.42
Mokp'o,268402,34.7936,126.389
Moradabad,721139,28.84,78.76
Morioka,287186,39.7,141.15
Moscow,10563038,55.75,37.62
Multan,1437230,30.2,71.45
Mumbai,12691836,18.96,72.82
Murmansk,320962,68.96,33.08
Naberezhnye Chelny,507180,55.69,52.32
Nagano,377169,36.65,138.18
Nagaoka,279741,37.46,138.85
Nagasaki,442624,32.75,129.88
Nagoya,2173945,35.15,136.91
Nagpur,2228018,21.16,79.08
Naha,313569,26.21,127.7
Najafabad,208647,32.67,51.35
Najran,246880,17.5,44.13
Nakhon Ratchasima,208781,15.,102.1
Nalchik,271447,43.5,43.62
Namangan,432456,41.,71.67
Nampo,467044,38.76,125.45
Nanchang,4973300,28.68,115.88
Nanchong,7535100,30.78,106.13
Nanded,485112,19.17,77.29
Nanjing,6297700,32.05,118.78
Nanning,6979000,22.82,108.32
Nantong,7626600,32.02,120.82
Nanyang,11675100,33.,112.53
Nara,370106,34.69,135.83
Narayanganj,223622,23.62,90.5
Narsingdi,281080,23.92,90.72
Nashik,1289497,20.01,73.78
Navi Mumbai,914730,19.11,73.06
Nawabshah,229504,26.24,68.4
Nazarabad,213388,35.95,50.6
Neyagawa,241825,34.79,135.64
Neyshabur,208860,36.22,58.82
Nha Trang,283441,12.25,109.19
Niigata,803273,37.92,139.04
Ningbo,5710200,29.88,121.55
Nishinomiya,465338,34.73,135.34
Nizhnekamsk,226928,55.64,51.82
Nizhnevartovsk,240834,60.93,76.57
Nizhniy Tagil,379724,57.92,59.97
Nizhny Novgorod,1271045,56.33,44.
Nonthaburi,375827,13.8607,100.515
Norilsk,213153,69.34,88.22
Novokuznetsk,562402,53.75,87.1
Novorossiysk,230702,44.72,37.77
Novosibirsk,1409137,55.04,82.93
Nukus,230006,42.47,59.61
Oita,462322,33.24,131.6
Okara,223648,30.81,73.45
Okayama,687136,34.67,133.92
Okazaki,354707,34.96,137.16
Olongapo,227270,14.8292,120.283
Omsk,1127675,55.,73.4
Oral,271900,51.,51.
Orenberg,525637,51.7833,55.1
Orenburg,533872,51.78,55.1
Orsk,247002,51.21,58.63
Orumiyeh,577307,37.53,45.
Oryol,325945,52.97,36.08
Os,258100,40.54,72.79
Osaka,2525153,34.68,135.5
Oskemen,309534,49.97,82.61
Otsu,301664,35.01,135.87
Pacet,327885,-6.75,107.05
Padang,833584,-0.95,100.35
Paju,413735,37.7615,126.776
Palembang,1452840,-2.99,104.75
Palu,282431,-0.9,119.84
Panchiao,550767,25.02,121.44
Pasig,669773,14.5869,121.061
Pathein,237089,16.78,94.73
Patna,1599920,25.62,85.13
Pavlodar,322305,52.3,76.95
Pekalongan,257945,-6.88,109.66
Pekan Baru,650891,0.56,101.43
Pematang Siantar,209614,2.96,99.06
Penza,509997,53.2,45.
Percut Sei Tuan,311063,3.68,98.75
Perm,986497,58.,56.25
Peshawar,1218773,34.01,71.54
Petaling Jaya,520698,3.1,101.62
Petropavl,203803,54.88,69.22
Petrozavodsk,265072,61.82,34.33
Phnum Penh,1242992,11.57,104.92
Pimpri,1284606,18.62,73.8
Pingchen,219155,24.95,121.21
Pingdingshan,5323600,33.73,113.3
Pingtung,216425,22.68,120.48
Pohang,513787,36.0322,129.365
Pokhara,264991,28.22,83.99
Pontianak,455173,-0.02,109.34
Prokopyevsk,216675,53.9,86.71
Puchong,335419,3.01667,101.617
Pune,2935744,18.53,73.84
Purwakarta,215803,-6.55,107.43
Purwokerto,217222,-7.43,109.24
Pusan,3403135,35.1028,129.04
Pyongyang,3198937,39.02,125.75
Qandahar,324800,31.61,65.69
Qaragandy,475267,49.88,73.16
Qarchak,251834,35.42,51.58
Qarshi,222898,38.87,65.8
Qazvin,349821,36.27,50.
Qingdao,7629200,36.07,120.32
Qiqihar,5715599,47.35,124.
Qods,230147,35.73,51.18
Qom,959116,34.65,50.95
Qostanay,216390,53.22,63.63
Quanzhou,6808500,24.9,118.58
Quetta,733675,30.21,67.02
